,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
0,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
1,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
2,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
3,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
4,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
5,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
6,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
7,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
8,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
9,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
10,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
11,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
12,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
13,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
14,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
15,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
16,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
17,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
18,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
19,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
20,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
21,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
22,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
23,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
24,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
25,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
26,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
27,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
28,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
29,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
30,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
31,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
32,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
33,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
34,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
35,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
36,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
37,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
38,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
39,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
40,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
41,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
42,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
43,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
44,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
45,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
46,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
47,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
48,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
49,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
50,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
51,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
52,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
53,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
54,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
55,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
56,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
57,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
58,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
59,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
60,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
61,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
62,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
63,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
64,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
65,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
66,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
67,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
68,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
69,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
70,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
71,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
72,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
73,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
74,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
75,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
76,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
77,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
78,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
79,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
80,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
81,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
82,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
83,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
84,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
85,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
86,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
87,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
